journey_id,school,date,channel_grouping,source,medium,campaign,country,touchpoint,total_touchpoints,stage,stage_idx,attribution_weight,status,closed_reason
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,1,6,D2 Enquiry,1,0.043392,Active,
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,2,6,D1 Lead,0,0.004622,Active,
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,2,6,D2 Enquiry,1,0.005424,Active,
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,3,6,D1 Lead,0,0.004622,Active,
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,3,6,D2 Enquiry,1,0.005424,Active,
BCS-0037,BCS,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,4,6,D1 Lead,0,0.005531,Active,
BCS-0037,BCS,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,4,6,D2 Enquiry,1,0.005004,Active,
BCS-0037,BCS,2026-06-20,Local,google,gmb,google_my_business,Spain,5,6,D1 Lead,0,0.004622,Active,
BCS-0037,BCS,2026-06-20,Local,google,gmb,google_my_business,Spain,5,6,D2 Enquiry,1,0.005424,Active,
BCS-0037,BCS,2026-06-21,Local,google,gmb,google_my_business,Spain,6,6,D1 Lead,0,0.036975,Active,
BCS-0037,BCS,2026-06-21,Local,google,gmb,google_my_business,Spain,6,6,D2 Enquiry,1,0.043392,Active,
BCS-0038,BCS,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",1,5,D1 Lead,0,0.103672,Active,
BCS-0038,BCS,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",1,5,D2 Enquiry,1,0.076753,Active,
BCS-0038,BCS,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",2,5,D1 Lead,0,0.017279,Active,
BCS-0038,BCS,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",2,5,D2 Enquiry,1,0.012792,Active,
BCS-0038,BCS,2026-06-18,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",3,5,D1 Lead,0,0.017279,Active,
BCS-0038,BCS,2026-06-18,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",3,5,D2 Enquiry,1,0.012792,Active,
BCS-0038,BCS,2026-06-19,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",4,5,D1 Lead,0,0.017279,Active,
